habilidad_cliente,nivel_cliente,Concat_Habilidad_UBITS
Ciclo de vida de la ciencia de datos (DevOps) - N3 - E,Intermedio (Nivel 3),"201050,4988,201433,6609,9053,2175,9052,9055,201932,9169,9024,201331,9071,7524,203065,201432,7425,2055,7566,9908,7501,9176,202437,202196,202197,9168,201936,9070,27247,200587,9050,8931,9043,27551,11541,9018,1505,201079,201054,296,7452,5287,7437,201435,201604,200763,9077,203662,1915,9068,200589,9153,15289,27348,2008,202066,201566,7447,201080,204216,204135,9049,721,201927,1777,201166,201286,201090,19572,16506,202706,3407,202450,9083,201291,8075,203122,204181,17345,203052,3693,200295,204178,202036,28565,17544,5550,11525,9021,15198,2193,7669,19573,29113,11104,201271,9038,200581,11538,556"
Ciclo de vida de la ciencia de datos (DevOps) - N4 - E,Avanzado (Nivel 4),"202196,201932,201050,201433,9169,9053,9918,7447,9071,9168,201080,202450,201271,203065,7444,204135,202197,4988,2055,6609,9176,200587,9052,201432,19573,19572,202066,201268,9064,9070,7327,7524,9083,7566,2193,28565,201291,8113,27348,9076,7506,201054,12737,7501,201090,7452,202118,202437,9043,13462,2051,27551,20045,24946,362,7440,9055,521,3494,19323,201936,25103,5310,200592,2175,9068,9153,9908,4107,1523,1986,12851,2016,364,201435,14347,2271,16660,296,10999,7322,200589,5605,9027,200576,9077,201431,27247,5550,7459,7851,7669,15976,835,7425,25097,204181,1505,9024,24909"
Ciclo de vida de la ciencia de datos (DevOps) - N1 - H,Básico (Nivel 1),"201936,9169,203065,201433,201932,4988,202196,201050,24181,9168,7566,9071,7524,202197,9024,10450,24182,201432,201927,204135,201268,201431,7501,27551,204197,9055,9052,1523,201331,201080,27247,2271,9153,7655,2175,203578,203549,10444,3399,203204,204181,201572,24175,19627,203566,364,201598,27348,25467,202437,200549,202066,16179,16526,12668,5550,29134,200614,24170,7855,362,11541,202199,9174,7452,12640,1713,6609,7575,3779,3693,3412,200467,201428,19572,15289,16493,3407,201429,200763,202966,26182,12741,12717,12754,1591,204093,16008,204130,201439,1535,1698,7447,25103,201566,6575,203029,202030,2016,202947"
Ciclo de vida de la ciencia de datos (DevOps) - N2 - H,Intermedio (Nivel 2),"202196,201432,201433,201050,27247,9169,9176,7447,202197,203578,2175,201079,201291,201271,201286,204378,200763,1915,201166,7566,27348,9168,9071,25097,28421,9043,9037,202711,203065,203207,27551,204178,29141,202118,7671,4988,12851,7440,203043,7586,9083,7452,201641,9055,28565,27730,9070,202445,202446,7524,7459,9024,15198,201566,27590,201604,200327,200326,200295,201435,202066,202030,29113,25529,26556,203029,27221,2272,11104,200299,200306,27668,12848,9038,75,201803,7425,202722,9018,7504,201936,7501,4016,9053,9052,204135,29134,204177,201445,201442,201927,6609,24175,12580,27737,6337,7444,202706,1366,201336"
Ciclo de vida de la ciencia de datos (DevOps) - N3 - H,Intermedio (Nivel 3),"201433,201432,202196,201050,202197,7444,201271,7327,201598,9169,9052,9143,7440,202066,203065,9050,9153,4988,9071,204181,9176,201435,7447,201566,9055,9083,27247,202444,7566,13462,200599,201932,16131,201291,200592,7889,7524,9168,27551,7323,7322,9077,201431,203029,201054,27348,202118,26699,7325,9908,200605,12851,203058,17345,9068,9024,7501,201437,201279,200267,8230,16008,5550,25040,9043,9027,7459,17160,200280,201147,9078,19572,201936,2008,2175,202446,2489,4130,201196,12848,202058,200763,28421,200328,7851,201641,9053,202001,202030,203549,201604,200315,7314,1505,201426,203122,9165,200327,7855,1915"
Ciclo de vida de la ciencia de datos (DevOps) - N4 - H,Avanzado (Nivel 4),"27247,9176,201433,9169,202196,9168,9049,9043,201432,9175,202197,9174,9055,7447,201166,201271,203065,201936,201050,202030,201286,200763,203578,201291,2272,203029,9024,9018,201336,7440,7402,201566,12848,9083,9153,9071,201604,9052,2175,7327,1505,204378,26556,4988,12851,3399,202709,1915,201606,9050,202966,201268,9030,2008,27249,27737,7566,9037,203450,26633,203208,6609,9077,16131,27221,203549,204178,204135,28421,203581,201598,75,21524,9165,203058,201641,203211,7389,203043,201079,3407,28565,3763,9078,202066,202746,7425,203122,204177,203106,11081,201435,835,202415,12850,201021,203072,610,7484,201196"
Comprensión de conceptos de aprendizaje automático - N1 - E,Básico (Nivel 1),"201683,27357,27355,4016,202445,200133,27730,201803,202118,202446,5272,7484,202190,200326,204192,201641,7504,201189,27348,201079,204178,202197,201291,202164,201445,201433,7460,201434,7765,202191,27675,202193,27359,1915,7518,203065,201432,27353,201426,202161,200262,201437,201955,201680,202196,202066,27668,27351,200763,200681,204246,202166,4846,204185,204196,7671,201475,7452,27369,203106,204215,7547,27361,201951,29113,27600,4901,29114,7459,27366,27957,204186,202195,200889,29283,203594,27737,201431,204378,202743,16008,202731,27334,200155,201936,15198,200617,204217,27958,27344,202706,201435,27520,2008,8484,204183,200539,204177,204175,3693"
Comprensión de conceptos de aprendizaje automático - N2 - E,Intermedio (Nivel 2),"27348,201803,27730,27675,204178,201426,202118,201432,7484,200133,201433,204216,202196,201683,201641,202446,201955,27334,4016,201435,27355,7460,7452,204215,27361,200326,7459,202161,204192,27357,202445,201445,4901,202066,204217,201291,204246,204196,201079,27668,7765,27958,7437,1915,201434,29113,204181,15198,201951,201189,201598,202193,7504,201680,202743,16008,27344,204195,203065,204177,7518,201932,204185,29114,27570,200576,7671,202966,200608,27600,11540,29387,7487,203106,201475,201427,27246,201331,201155,201442,29283,202197,7444,27366,202166,200262,553,27360,4846,202191,204175,5272,28565,27342,200284,27359,27354,8931,27369,27346"
Comprensión de conceptos de aprendizaje automático - N3 - E,Intermedio (Nivel 3),"27348,202118,201803,201683,200133,201426,27355,7765,27730,202191,201189,7511,201641,7484,204185,27675,27357,202164,4016,200326,202066,204217,202446,202193,202161,202196,204192,27958,201434,4901,201291,7504,204178,27334,27354,202197,201955,201445,27359,204196,201951,202195,201432,27344,7460,203594,203106,204215,7459,202445,201435,27361,531,204246,201433,202058,200763,202166,7452,1915,29113,203065,7547,4846,27399,201475,5272,27369,201680,200681,7458,200599,27957,27246,203576,7435,20326,27358,202731,202964,29114,7440,203591,27687,201079,15068,27366,1549,27520,165,26644,200262,204177,27542,27600,27967,24927,27350,12703,4405"
Comprensión de conceptos de aprendizaje automático - N4 - E,Avanzado (Nivel 4),"201426,27675,27348,4901,7444,200326,201803,27730,201951,201641,202118,204185,201435,22199,7460,204192,202196,201434,7765,202446,204217,7770,202066,1535,1473,3889,25394,204178,201932,202959,200608,200599,11473,201436,201433,203065,27399,203636,7484,201427,4016,200133,202046,24170,202030,15548,201680,7993,24164,16008,1842,202164,19645,362,201598,27668,1523,202946,201555,24231,201432,15874,7903,202019,201955,30298,204087,27466,203603,203570,14653,201189,201557,696,7459,7870,202020,27334,200467,203576,200461,204337,203591,19585,24048,200267,3412,15068,7487,26568,202166,27520,202161,7848,204209,7511,15463,1915,2312,25645"
