habilidad_cliente,nivel_cliente,Concat_Habilidad_UBITS
Preparación y manipulación de datos - N1 - H,Básico (Nivel 1),"382,3711,386,200134,202369,20,200618,628,21,200588,29285,1259,202722,86,203058,573,200579,202366,381,200136,203665,10989,1591,7967,200576,7671,201955,464,88,6609,200614,29286,200615,202437,200138,201932,203057,201071,1698,200581,200137,29288,827,201336,202066,203056,809,201291,200602,7437,7435,15198,204,29141,203661,784,2525,200608,200603,203065,1621,7440,202047,16095,33,2864,2485,10992,1270,28565,200599,24955,25012,45,6597,10991,200586,200601,201065,200587,200589,6591,27590,203662,7669,1643,202370,27560,11544,203664,201114,202711,203663,200617,610,203659,1523,200600,1297,200612"
Preparación y manipulación de datos - N2 - H,Intermedio (Nivel 2),"382,7671,200134,203665,7437,201955,201336,29141,386,7435,202366,202066,203659,203661,200579,200137,29286,16095,201291,27590,16059,202966,203663,200136,15198,29285,202369,573,20,1591,202722,628,29397,200618,203065,203660,24955,202437,203662,21,7438,200576,10992,3711,18057,28565,7967,203056,10481,8939,1549,201606,1297,610,10986,201071,356,26625,204246,7655,202199,27560,204215,204228,201145,27550,29387,29382,202047,18964,203208,6609,16526,343,86,1259,11065,10480,203664,201932,200140,2008,29227,ID,381,10482,1270,1986,464,200589,7411,204,200587,201268,200588,7619,7676,204205,7575,7669"
Preparación y manipulación de datos - N3 - H,Intermedio (Nivel 3),"16520,8939,24181,200134,202966,201955,386,18057,203065,201936,25467,7765,2099,202959,7437,7671,202020,16059,1591,7435,202066,201475,2271,201932,200137,202722,24170,10481,202437,29397,200549,1269,27520,24182,16664,201431,203591,204209,204206,202047,202946,16526,201114,19193,27348,29439,16095,4901,16967,14639,29281,203577,29286,29253,1523,16008,29254,202953,20597,204095,203603,29379,1698,29227,202950,15198,1535,1842,29285,19497,20041,22195,12620,202164,203665,201336,200136,19585,1621,204122,202943,204110,27550,204093,202965,202199,202927,15199,200569,2231,202369,29141,202030,2008,22187,19502,382,1643,26679,4405"
Preparación y manipulación de datos - N4 - H,Avanzado (Nivel 4),"3711,201955,382,201336,200134,202966,7440,201071,386,201291,203065,201433,27590,21,202722,202196,200600,1591,201268,16095,7671,201606,29286,203662,203661,29141,202066,202369,200579,20,203643,200576,610,203659,29134,6653,200615,203665,1986,200136,86,7437,24181,200763,354,29397,202047,202118,16008,7435,203029,1523,203058,2008,204215,203208,25103,1259,16038,200608,6609,201432,200587,202437,15198,10480,1097,202030,29285,28565,10481,1864,201270,8091,10992,203106,16059,16089,11178,201196,16520,204122,11153,ID,1698,1621,200618,7985,343,16079,12814,202364,24955,201566,10991,27229,201932,11155,1297,16967"
Preparación y manipulación de datos - N1 - M,Básico (Nivel 1),"386,201955,16967,15831,201932,10481,382,29397,202722,7765,203065,1591,28565,202437,202066,7440,16059,628,201114,200134,202369,201336,26712,1621,15198,1535,7671,201291,27675,202743,203665,202966,201125,10482,7435,2271,8939,16520,202030,86,202199,7851,19797,1269,201426,2008,6609,6686,27590,10480,16095,1986,29141,8930,7855,16664,200600,1523,663,8063,201071,573,200576,204135,716,1297,201268,29286,6591,13814,7459,200136,200579,1259,4137,610,202927,19184,203659,24955,6653,200137,202196,7511,201951,1270,1698,203662,7437,19516,200587,5516,201433,19193,18057,34,3370,671,201936,20"
Preparación y manipulación de datos - N2 - M,Intermedio (Nivel 2),"3711,202066,200599,203065,203058,386,7440,201955,202444,202370,202369,27598,1523,201431,382,16967,18057,1591,2008,86,200576,202020,201598,201932,202966,202437,1259,200612,27675,2090,200608,2271,200615,26699,201071,202058,200588,202047,201566,201114,1986,2278,200261,203576,200611,7444,18079,1535,201147,88,2489,10481,610,203204,20,1698,201433,25467,202722,200134,201336,7435,201426,200614,200610,9143,29285,202927,200262,16520,573,201428,7889,7855,29288,16008,24170,200603,21,201369,7770,1087,2231,1505,201271,201291,296,27726,1269,202118,4901,202164,1842,7669,7459,10043,26091,1713,7575,628"
Preparación y manipulación de datos - N3 - M,Intermedio (Nivel 3),"3711,201955,203065,201336,202966,200134,201268,201606,202722,7440,201071,382,203058,29286,610,200615,201291,386,201433,7669,25103,202437,200579,20,16089,16095,202030,18057,10991,203665,201566,202047,203208,202066,202196,16008,7671,201286,13452,1505,201166,200600,10488,200611,1591,1523,201431,16079,204135,86,201936,1259,201271,16038,16059,16967,27247,7437,24955,203661,201432,200140,1301,200586,29141,21,201932,202369,29288,200576,202743,809,10481,25467,203662,200295,464,24181,202197,1297,29285,27590,6602,6653,200136,10480,203029,1535,203207,203106,200327,1986,29397,202943,2008,200587,201598,827,201114,2485"
Preparación y manipulación de datos - N4 - M,Avanzado (Nivel 4),"200615,201955,3711,203058,201433,201566,201071,7440,203065,201606,382,386,202722,1259,202370,200611,1523,1591,2175,202369,203029,201336,201369,200587,203662,201438,200540,27737,203208,8075,201268,201431,204378,201196,201432,201936,200134,201572,203452,203578,203665,1915,200605,2090,201271,15289,16089,202196,200608,201437,204122,2008,1986,202030,21,201291,827,200763,202966,18057,203661,6653,16967,200600,1505,202437,200612,202199,202446,200576,86,25467,1698,29286,202066,201105,200138,7459,47,202118,19184,7669,203566,7889,2291,203660,200539,11098,202164,3693,24955,25562,25103,10480,26670,2485,200262,27590,88,10481"
Programación - N1 - E,Básico (Nivel 1),"9231,1570,2103,1984,9228,10139,5141,2118,202398,5117,11267,6933,27375,6609,5097,6951,12287,1594,1849,4941,11270,1825,1571,202168,1715,202430,201314,24943,9056,5152,9048,1873,2046,5123,10551,12286,203117,6194,1575,12311,28050,202716,27453,1910,9384,1765,6942,9051,1711,11086,202445,12310,201330,5093,9047,805,27395,2305,8076,11105,5223,2246,10983,12300,9260,11029,11088,11112,11266,27392,9396,201039,203106,12291,3349,11099,11268,202004,7860,11073,10537,11171,91,8290,24944,3370,9421,2831,12851,26146,10161,27356,11027,11263,203122,10544,11189,14915,11053,201172"
Programación - N2 - E,Intermedio (Nivel 2),"4941,1570,5097,5117,27328,202398,6609,10492,357,202168,2103,202430,10139,1849,9047,3370,1873,5123,12847,10551,202366,9231,9056,9228,10989,9037,201314,201176,9034,1594,91,27453,2046,11267,6951,10991,2246,11157,202445,7860,1825,201196,11112,12287,12466,1715,201260,10544,12848,11099,9051,201172,2305,14915,11270,9048,24948,7963,3349,10999,2337,827,26556,10479,27375,805,202167,9458,28565,1765,203122,11087,10996,11161,11219,2118,11113,9086,24943,1575,5141,10550,12569,203451,9084,24949,28050,8076,26146,381,2265,1984,17425,10543,6194,10168,ID,5093,8113,11137"
Programación - N3 - E,Intermedio (Nivel 3),"1825,6609,201927,203065,11053,9231,201936,201932,202437,202716,27345,24181,8076,1842,1570,204135,201428,203117,201431,24182,202168,12286,16008,6933,11078,7967,27378,5141,10553,10161,2103,1984,201336,6591,12287,1523,10544,27375,29397,11132,200599,1505,8889,15289,202047,1591,7437,1698,11124,11127,11095,11117,202731,11518,200262,202066,29286,200617,201114,11112,11029,201268,27560,202446,24955,386,202199,9384,7452,2008,8061,7851,7860,5097,8290,3350,204,202966,3693,11171,204133,12300,9022,3711,1571,29281,11145,ID,1713,11251,7403,382,26712,200569,202743,1594,201062,9228,20,9260"
Programación - N4 - E,Avanzado (Nivel 4),"6609,202168,203117,10983,2046,3711,1825,201196,28565,8076,10986,202716,5097,2103,202743,1594,27229,1570,9231,10992,11043,1984,5117,4941,2118,11132,9228,204135,12311,10994,201433,82,202196,8865,202004,9051,11173,11195,10996,201932,9384,7860,10999,8290,202445,12300,201176,200763,11053,10557,10139,11078,8093,3349,12814,9088,202193,12287,11106,203106,5141,3512,11112,201291,10480,11261,8930,11174,11099,2305,27453,11095,6951,9184,3370,386,203122,11088,9420,11073,2337,382,9457,11259,7967,201641,202430,201268,11013,28050,1715,20,202437,26556,11041,6933,11040,27234,5123,201330"
Programación - N1 - H,Básico (Nivel 1),"6609,1594,10139,8930,2241,203117,201196,1570,9071,202716,9231,8290,9384,2046,202168,200599,7851,9051,3711,201932,24170,5123,6194,4941,1910,24944,5097,5117,9184,1535,2103,27375,27234,8076,1980,10541,4130,4107,7860,3779,8889,2305,10999,4161,9013,1765,8865,12314,1715,1591,9143,9058,27551,1849,202066,28565,9406,9228,10439,9917,9154,3827,202070,6933,7566,9014,12396,5141,628,201268,1698,10481,202369,8113,2089,11117,202058,200605,201426,9242,13879,9153,28050,9177,7325,12287,7403,1713,201431,25954,9155,202437,12311,200267,202046,9042,9394,9048,204135,12318"
Programación - N2 - H,Intermedio (Nivel 2),"24946,8113,27551,7566,2193,202450,8290,4161,9071,4107,9083,201050,9231,202168,2055,8069,11104,9076,203122,2274,9069,203117,10160,2305,3917,9384,2051,201176,1594,11195,9070,9051,9048,9058,6194,26556,4130,2046,9153,11045,9075,2103,23514,27375,12737,9068,10486,3349,3914,201196,9421,201271,9148,202490,9052,9043,9394,9042,27341,11002,13657,9073,9176,14347,10139,9053,5223,12851,9240,202716,9406,3407,12311,7325,200592,14915,27453,7314,9066,9477,9242,6609,9013,9077,10164,9067,10983,11087,7860,9168,9169,4941,202197,5097,24944,12697,9273,9396,5141,9024"
Programación - N3 - H,Intermedio (Nivel 3),"2241,9384,2089,10983,1594,1910,4107,9421,9231,202168,202485,201165,12396,7325,2513,2046,10091,9153,201196,11101,2103,203106,9396,2305,2316,24944,9071,27453,11106,25104,27551,201298,9051,9506,7566,203117,202058,11112,201308,9014,2543,7403,10993,5097,9412,2088,29247,10469,202030,9086,12311,9917,4161,9143,5141,9240,3798,203122,3332,7513,12423,7514,12851,200599,9417,14347,4130,27341,201426,9411,7389,8290,9254,9249,202444,11219,13458,6609,9235,27675,19572,28565,7473,27598,9392,9414,24170,201297,9088,9457,200763,203654,10985,9184,7402,9445,7453,9477,9877,7013"
Programación - N4 - H,Avanzado (Nivel 4),"203117,6609,27247,202168,5097,28565,10983,200763,201291,9231,201196,203058,9384,5141,201268,28050,204135,12851,201336,203065,202716,6933,2103,3711,202743,202030,12848,20,203106,1570,27218,25103,201433,9037,1984,1594,6951,2046,7327,9071,202196,26556,201566,1825,10161,8061,11132,201271,12300,6592,201071,7860,202197,27737,29397,6653,9048,5223,201286,7440,201431,202066,9153,4941,200138,202193,9176,202398,202430,201932,203122,386,10480,202722,201333,9086,201166,201606,10984,86,201955,5123,6591,88,91,11053,9012,203207,10991,382,200611,6593,9228,204378,6602,12287,1715,2246,201328,3747"
Prompting para Inteligencia artificial generativa - N1 - E,Básico (Nivel 1),"204183,203106,201641,202018,203591,27571,201435,202166,201436,202030,25394,204181,204191,201434,204185,200155,204195,203601,201440,204196,201437,29283,201444,203564,204193,200674,204337,202167,8643,30298,28845,202171,201189,27570,201439,201438,201196,200763,26568,200670,27596,12582,7460,202203,201201,200623,203594,203605,202172,201426,200681,203603,201442,203607,9122,200326,203595,204188,1473,201445,203566,27466,201603,202016,27764,203577,203570,27687,203599,202168,203600,204378,201126,203581,200624,26557,203597,1915,203602,203578,27675,7985,200157,14653,200539,27587,203645,202706,203573,12578,202703,204087,203452,202025,203606,203587,202169,204375,200537,202015"
Prompting para Inteligencia artificial generativa - N2 - E,Intermedio (Nivel 2),"203106,204183,8643,201196,28845,29283,202167,204181,203564,201641,202172,201438,201436,27675,201435,12582,203594,26568,204195,202030,204196,27570,200674,202168,203581,201189,200763,201426,203566,30298,203605,202166,200537,201444,203645,2312,27687,203648,27571,27568,7440,202018,200155,201437,203603,202449,200536,7460,9122,27664,19572,204185,202169,203203,7985,204378,1915,203601,201126,201201,200681,204193,27587,203646,200157,203654,204191,ID,27737,200469,202429,201439,25394,201442,2394,203450,200609,204180,15696,7487,8063,9912,5310,204337,201951,203600,203649,24456,200535,202016,50,26667,203207,203587,200901,200539,6898,201434,200623,201147"
Prompting para Inteligencia artificial generativa - N3 - E,Intermedio (Nivel 3),"203106,203564,204183,201641,201435,28845,8643,200674,204181,201196,30298,202167,201438,204195,201442,29283,200763,201437,202166,201189,201426,27570,26568,203594,200670,201436,204185,12582,203603,203566,202168,200155,202018,27571,27675,201444,25394,202030,201434,202196,203591,204196,9122,204193,203605,202172,202045,5310,7460,202118,200537,13830,203649,203601,201951,1915,7985,200901,202203,201440,200681,203645,202034,203568,27687,200536,204191,201201,203607,200355,202171,200379,204337,204378,202706,201439,200332,203578,200623,204188,202169,201126,201603,201441,1473,202449,2394,202025,7440,204376,ID,26667,204217,203577,200575,7855,200469,28565,203526,202016"
Prompting para Inteligencia artificial generativa - N4 - E,Avanzado (Nivel 4),"203106,204183,204181,201189,202166,8643,201435,204185,201641,201436,29283,204195,201196,200681,201426,201434,200155,25394,201437,204217,27570,202167,202030,203601,204337,204087,30298,201438,203603,1473,201444,204196,203591,27571,9122,203566,200763,28845,12582,201431,203595,202168,201442,201440,201126,204191,26568,201201,203594,201803,202703,27675,202046,203597,202171,7770,200549,203599,200674,202018,25645,202040,200157,203636,203564,204193,203573,203607,202045,27764,24135,26573,201432,7444,26569,27664,14653,204378,203649,200624,26575,201439,200332,203637,204237,204375,24105,202172,204190,200469,202169,202203,27568,202016,204188,27687,203570,202118,29117,203452"
Prompting para Inteligencia artificial generativa - N1 - H,Básico (Nivel 1),"201196,204183,203106,201437,8643,201438,204181,204217,30298,200674,201189,201435,203601,202030,201641,201598,202040,203566,202196,203549,200763,202118,201440,200537,202016,202167,25394,201436,202018,200624,202706,204087,201434,203564,204185,3407,203452,26568,200536,203581,7444,203594,203603,15327,201433,202197,200539,12582,26320,1915,29283,201432,200155,203591,203578,204237,150,202066,202166,200355,19572,25645,203607,204337,201444,201572,201426,202034,28845,9122,200605,201603,19573,202036,26575,204378,5310,203597,200901,204376,203526,202058,5305,203599,29437,200538,27675,204375,27737,202032,200681,200592,200487,3399,201442,202025,200379,203636,202045,27348"
Prompting para Inteligencia artificial generativa - N2 - H,Intermedio (Nivel 2),"202167,29283,203106,27571,201641,201196,202172,204183,203207,204191,8643,203566,200763,12578,201435,28845,201444,201440,202169,203601,203452,204181,201437,203607,203649,202168,201436,201442,202166,200539,202030,203564,200157,200670,200535,203584,203645,12582,202018,200537,201201,203591,203589,204185,27570,203190,202203,200155,204195,203209,204378,203581,203203,201426,200469,200674,203577,200536,203450,202045,203573,25394,201434,29117,27687,204376,203605,26568,203277,204188,201438,203568,201603,202025,200681,203578,200355,1915,202170,204190,203575,202016,27675,26320,30298,203526,26575,27596,203570,203648,203641,1473,202196,202034,204193,201445,203587,27587,200348,203594"
Prompting para Inteligencia artificial generativa - N3 - H,Intermedio (Nivel 3),"203106,201196,204183,203566,200763,201437,201438,201189,204181,8643,203601,1915,201641,27737,29283,201435,204378,202030,204087,202172,202166,12582,202167,200537,200536,25394,27570,203526,204195,30298,202018,201079,201126,204337,9122,202025,26320,201431,26568,200539,203581,201434,203599,5310,204185,26573,204217,201603,202036,202168,202169,202040,202016,204237,201201,7985,201440,27587,203450,18091,25645,203203,26091,203190,201436,202706,27764,203207,200575,201426,203573,203587,200355,200157,204375,202203,201432,202058,203603,204376,200155,200469,26087,203452,26575,203594,203600,203564,24118,26546,27675,26699,200624,203597,204188,203654,202032,204180,200379,200540"
Prompting para Inteligencia artificial generativa - N4 - H,Avanzado (Nivel 4),"203106,200763,201196,204378,203207,12582,202030,203566,1915,202172,201641,202036,203450,202168,201437,29283,204183,201079,203526,202167,202025,203578,200539,203581,8643,200575,201442,201435,203594,203190,202196,27737,200537,27568,202166,202203,201440,201438,203601,200157,202018,203452,202016,203277,12578,204181,26568,200536,28845,200540,201189,18091,202169,204195,201444,26575,27571,203649,202032,201217,201603,204376,201433,200155,203599,6653,204375,5310,30298,1366,27570,203209,201445,12222,200355,201439,203564,201201,201193,27587,203600,200446,29116,29117,201126,201434,26320,201436,204185,203568,9122,12580,202040,204087,203645,27764,200681,200379,7985,200469"
Prompting para Inteligencia artificial generativa - N1 - M,Básico (Nivel 1),"203106,204195,26568,201586,15341,200763,202168,203207,202172,201641,201196,203450,201054,16512,7840,203031,200575,27570,203037,7733,201435,2350,204183,8064,29283,1915,202030,16696,8020,8643,204378,12582,203643,202196,203566,203601,201440,27675,28845,203594,6691,8094,2394,6653,201426,202706,203050,204181,203190,203564,203578,26143,202036,159,202167,201142,26320,200155,203581,5041,16560,5397,202169,201079,7447,7460,202016,27737,6639,1190,26327,202025,16517,201126,200997,200157,201090,18123,22872,28847,204375,362,200539,200469,203526,18091,201444,201119,9,204087,201043,7985,201442,201434,201201,202018,203452,203203,5310,8063"
Prompting para Inteligencia artificial generativa - N2 - M,Intermedio (Nivel 2),"203106,202172,201641,202030,203566,203581,202018,200763,201196,204181,204183,203601,25394,204378,26568,201440,201444,201435,12582,8643,201201,203450,27687,29283,200670,201436,204195,203587,203203,200674,203605,200539,203578,203564,202167,203600,27568,203190,201442,1915,200157,27737,201437,202032,202016,202166,203594,203570,201439,200536,200537,203597,28845,203591,27570,203573,204337,203603,203452,203207,9344,201445,200624,202168,201189,8063,204196,26320,27571,200623,201291,203589,204193,27664,204185,201126,27587,202169,204376,27596,201438,202203,203599,204087,200155,203526,204375,201434,6653,27675,202025,201433,201603,14653,201426,203586,9122,203654,30298,7855"
Prompting para Inteligencia artificial generativa - N3 - M,Intermedio (Nivel 3),"201196,204181,203106,200763,203566,203601,201641,201436,202172,201435,202196,202018,27737,204183,202197,201442,203581,12582,8643,26568,201437,202030,25394,204378,201444,201440,203578,203573,202168,203190,29283,203564,203450,26320,27587,202167,200539,203607,201189,201271,7447,201433,200537,201438,201445,203587,203591,201201,204375,203600,203605,200469,201007,203207,200624,1915,202031,204188,204337,202200,202166,200536,201439,202045,200670,203514,200157,200672,203597,200901,203599,835,204087,28565,201217,202034,2350,201432,203603,200743,27687,27664,204180,26556,203452,202040,200674,200575,2187,7440,9083,203594,204195,203570,202025,347,201126,202016,204193,202203"
Prompting para Inteligencia artificial generativa - N4 - M,Avanzado (Nivel 4),"202172,203581,203566,203106,202018,25394,202030,203587,203601,26568,201196,201201,201641,16502,203577,203190,201007,203600,201033,200763,204375,26320,201440,27687,202035,203072,1915,203045,201435,203203,200539,201048,15316,204079,200672,203573,27737,203564,204181,202049,2350,201043,16604,201016,200624,204378,203578,203637,201603,12582,202025,203050,203599,202166,201680,201577,18584,200157,203038,203450,8643,6691,203603,29283,16110,23260,27587,201437,203575,203073,201438,200670,204195,201026,7460,201436,204188,201572,200673,203452,203597,201090,202045,27596,200469,204183,202036,13620,203594,200674,201126,202196,203598,87,200445,201142,204087,2187,201442,26327"
Reportería con datos (informes data- driven) - N1 - E,Básico (Nivel 1),"354,16089,200384,1297,18964,16079,386,22620,16526,19091,200140,18057,2116,200579,29286,1301,16095,203065,58,28862,8091,20,200613,1643,200611,201336,311,202966,7921,200609,7676,16008,203051,29281,16059,1986,809,200598,202722,16855,26624,15348,21,200586,7967,202161,1549,202437,201927,24182,382,29443,25467,17422,200576,465,29284,201592,29404,7902,15315,15289,ID,15696,1523,16967,7940,510,204097,26712,201955,1269,29283,201593,26679,200617,201184,16825,200610,15742,24228,8939,29285,1535,16664,204233,201641,24179,202066,200600,29288,2008,7985,24176,201332,16859,3818,16038,3906,201014"
Reportería con datos (informes data- driven) - N2 - E,Intermedio (Nivel 2),"1297,386,200579,200140,354,16079,18057,16089,28862,20,7676,16095,7546,1301,809,200613,201336,3370,203661,201332,1270,203056,7921,16038,510,382,202366,201014,29387,18964,200586,29283,203665,ID,465,200598,203663,202966,784,610,16059,29286,343,29287,381,1269,29267,11214,29284,27560,202437,21,29288,24949,203065,200384,200602,1643,200576,200610,15289,8939,29281,200609,1591,22620,203660,7672,1535,8091,204246,1311,202161,5516,200611,16526,10986,7487,201184,203653,202722,7606,202449,666,4016,3906,29443,2116,16008,29285,7437,29404,1698,1549,202167,7504,296,7575,15696,29424"
Reportería con datos (informes data- driven) - N3 - E,Intermedio (Nivel 3),"1297,354,386,18964,16079,200579,16089,22620,200140,2116,28862,20,465,16095,18057,7676,1643,201014,7921,200611,1301,16526,7546,203065,29286,16059,200384,8091,202966,15696,382,200586,201336,809,29443,16038,200613,200576,1311,16008,29387,1549,26712,510,202437,201332,1986,29281,10986,21,1267,1269,200598,203661,203665,202161,204215,29404,200609,201184,29267,ID,29284,202722,29288,29382,204214,27560,5516,15289,203056,343,15198,16967,3906,202366,29129,26624,610,200610,1270,1591,7967,58,203663,200617,29227,201592,202066,29287,202047,13307,1535,17422,201927,1505,201932,7733,26182,29285"
Reportería con datos (informes data- driven) - N4 - E,Avanzado (Nivel 4),"18057,1297,204209,201184,1549,18964,354,16089,465,200611,200610,20,29404,16664,203065,200579,1535,16008,16079,22196,200586,24182,16526,202437,24181,1301,29227,1311,7921,16059,16095,7676,25467,200140,202966,29267,8939,666,202066,7902,5516,1534,29255,2271,29377,200916,202047,809,28862,29443,200598,29281,4137,16038,204214,1269,203660,29287,2116,22620,202020,26624,4901,10481,29288,24176,343,2140,202065,386,200600,200599,200608,201936,3779,29268,27348,29266,16855,204110,200576,3906,204233,16520,15289,26679,201927,29286,203051,26712,7546,19563,201598,200384,18910,200609,9360,24170,29284,16967"
Reportería con datos (informes data- driven) - N1 - H,Básico (Nivel 1),"1297,354,16089,200579,16079,200611,18057,18964,200140,20,29404,386,1301,200586,7546,15696,16095,809,2116,200610,7676,465,7921,29286,200613,200384,29287,16038,343,201336,28862,1549,16008,10986,202966,22620,21,1535,201184,16059,200598,200609,200600,4137,1269,5516,202047,607,3906,382,201014,202437,29284,203065,29288,19091,203660,202161,203661,200916,58,29387,200576,29267,201332,29443,203051,201598,666,17422,29281,1986,1270,22196,29227,1267,510,29377,6653,200608,1311,8091,201592,610,201593,1643,201268,203058,16664,8939,26667,26712,7985,203643,19034,26182,202066,15742,202722,1591"
Reportería con datos (informes data- driven) - N2 - H,Intermedio (Nivel 2),"1297,354,16089,200579,16079,20,2116,200140,200611,18964,200586,29286,16095,386,18057,200610,7676,16059,4137,29281,203065,28862,809,16038,200613,29288,465,7546,29287,1301,8091,200598,22620,15696,200609,29284,3906,202161,203058,21,7921,343,201336,202927,16008,201592,1643,202437,203051,201332,201062,200576,382,10986,201184,29443,200600,202066,202722,16967,200589,201932,202047,1535,200384,200134,58,1549,202966,86,1591,610,1269,201268,200916,202369,17422,29404,26667,201014,16664,1523,1311,200614,16526,29285,12116,26624,666,200608,29283,464,1267,202059,202743,29289,202065,29377,201936,19091"
Reportería con datos (informes data- driven) - N3 - H,Intermedio (Nivel 3),"1297,354,8939,18057,204206,386,16520,4901,16008,16079,200384,204209,8943,1549,16089,200579,22196,1301,1535,201184,203065,202066,18964,20,19091,26624,26589,16526,6599,200611,1311,22195,7921,19327,7807,27348,24170,28862,2116,25467,16059,29404,16855,200140,1534,16095,1269,202058,16742,29281,204106,22187,29227,24182,200610,202966,202047,200586,296,7437,17902,15857,8091,2271,610,16038,22620,1523,29286,202059,3906,2099,29443,16664,200608,16967,15445,201598,202722,200576,1591,24228,19193,29382,201955,24181,202927,202070,1643,5516,4161,465,7902,3779,13148,1970,200609,13810,510,4405"
Reportería con datos (informes data- driven) - N4 - H,Avanzado (Nivel 4),"1297,1301,16089,200579,354,28862,200586,200140,16079,386,200611,200613,2116,20,809,18057,7546,203065,18964,22620,29288,201014,16038,202437,26624,1535,200610,1643,29286,7676,200609,16008,1986,1311,203058,1267,7921,16095,26182,3906,16967,1505,465,29281,29287,201332,24909,202066,202047,202966,16059,201936,202161,29284,1864,204135,10986,201348,29443,1591,8091,1713,200384,201932,1269,4137,1523,202722,2271,201114,200262,200598,201336,200576,24020,290,201268,666,610,382,201184,19193,13838,21,29377,2008,364,26712,7606,202199,29283,16664,201598,9360,86,19184,23936,29397,7917,1621"
Reportería con datos (informes data- driven) - N1 - M,Básico (Nivel 1),"22620,1297,200586,2116,18964,16089,200579,28862,16079,1301,18057,29443,1986,203065,29281,200140,202927,24909,16526,809,16038,202437,200611,16664,201184,29288,200589,3906,1311,203051,16095,29286,465,16059,26182,16967,200610,2271,201014,7676,26624,20,1269,202047,354,10986,201936,200587,4137,1267,17422,1864,15289,16008,203058,1643,8091,1523,16855,1535,386,200598,200136,200609,201927,12116,202020,202066,7546,18661,200576,201062,1713,201932,26712,200599,202966,1549,201114,1591,24020,29287,15445,200581,202722,201598,382,29284,9360,1505,7504,86,7606,200614,201332,29283,202161,200613,24374,15831"
Reportería con datos (informes data- driven) - N2 - M,Intermedio (Nivel 2),"1297,354,16089,200609,1301,200611,200384,16079,20,200586,200579,202966,18057,1986,1535,386,200610,17422,29286,16502,15696,24243,200140,16095,200613,202161,2116,203065,18964,7921,29404,201606,16059,201033,22620,24182,15316,200600,200598,28862,809,203058,15831,202172,24181,4137,16008,201598,24228,16678,200589,203045,610,15317,26624,201336,19091,26182,16664,7676,1267,19193,203051,1269,202437,7546,21,7855,15327,201268,6653,29288,16038,201014,16967,16538,121,23936,290,16148,202927,8091,510,201348,200576,666,200262,29443,362,24020,465,311,29284,3928,204083,202952,201583,343,29287,382"
Reportería con datos (informes data- driven) - N3 - M,Intermedio (Nivel 3),"16089,200579,1301,354,386,200611,1297,26670,200586,200613,202966,18057,6653,203065,16079,28862,15289,809,201936,465,7940,7447,29129,7840,203058,16008,7855,200140,29443,10986,7921,7966,610,24175,7546,382,16038,20,12878,29286,6592,2116,201566,26182,200587,24020,202722,1505,202066,7676,203660,202743,2272,200609,16095,1643,201014,6593,16059,201271,200384,202437,20086,26633,290,364,204097,203646,202943,27479,204135,202047,202711,203661,9088,24909,201336,4161,1591,6609,8091,201268,3370,201079,29397,1986,362,19184,24385,29287,23930,27542,200610,26699,6337,1535,296,2016,3906,25562"
Reportería con datos (informes data- driven) - N4 - M,Avanzado (Nivel 4),"354,17422,16502,15316,16089,1301,201033,200384,3928,386,202966,204079,203045,16079,24020,1297,3940,1986,18057,24722,14,16678,2116,16575,200609,329,3768,15552,13703,9000,200611,786,16604,16026,202951,203065,200579,15343,19091,23936,201014,16008,362,15696,7807,26591,201008,200499,6661,1535,22872,201598,203072,201119,16,29404,200586,13663,3425,22620,24228,20,24243,2536,6196,201142,1505,16967,6599,18584,24182,19391,1267,16152,17932,3519,201348,16485,201583,201577,201936,201043,7855,15317,200613,121,204097,201048,3399,87,15808,28862,203577,7921,203038,15338,3930,26589,16403,16560"
Storytelling con datos - N1 - E,Básico (Nivel 1),"22620,18964,203051,201927,2116,1297,29281,203065,7293,7328,200136,7302,10076,202437,23960,3906,200140,4082,17422,25555,7045,16855,201184,200137,18057,202066,201336,5276,12116,201936,1523,16079,8008,1269,28862,1535,7575,15742,27949,19107,26712,1986,200617,29335,29227,7655,29283,15445,16967,27560,ID,202927,1505,8939,16526,27550,706,24374,29443,16059,202966,22995,27029,20051,15347,1549,1842,200598,16008,201155,11980,2231,9360,24402,15687,17411,201431,200608,201114,16089,15533,29382,1591,7320,201014,202012,24909,202161,200576,13875,7967,202047,7676,204183,203507,29288,7437,202199,2271,204192"
Storytelling con datos - N2 - E,Intermedio (Nivel 2),"1297,22620,18964,200140,2116,28065,16089,16079,29281,12116,7546,18057,3906,15696,7676,20,203051,16038,4137,343,200579,809,607,29404,200586,382,200916,17422,21,1301,354,201336,201184,16095,28862,1269,29287,465,10986,29283,202437,1535,5516,203065,16059,19107,15742,386,11980,201592,16456,200611,1270,58,29288,29424,201014,19034,200600,7921,29267,25555,203653,29286,29387,29335,200136,204215,7293,202065,203056,23960,201927,4082,6846,200598,203661,7328,200610,7302,1046,7606,203660,7607,29443,7045,638,202927,20051,666,27949,204233,1267,1549,16225,7506,202966,22995,16859,ID"
